n,Number_of_Moves,Execution_Time_seconds,Theoretical_Moves
5,31,0.028896,31
10,1023,0.880783,1023
15,32767,26.210834,32767
20,1048575,856.011616,1048575
21,2097151,1542.019813,2097151
22,4194303,3649.670882,4194303
